Provincia,Total,Hombres,Mujeres
Distrito Nacional,1029110,490423,538687
Azua,240209,124146,116063
Bahoruco,108717,55629,53088
Barahona,200886,101378,99508
Dajabón,65519,32907,32612
Duarte,308285,151993,156292
Elías Piña,58536,29493,29043
El Seibo,102015,50606,51409
Espaillat,236460,115674,120786
Hato Mayor,88182,43381,44801
Hermanas Mirabal,92193,45402,46791
Independencia,55044,27399,27645
La Altagracia,390085,190209,199876
La Romana,245215,118628,126587
La Vega,420750,205012,215738
María Trinidad Sánchez,141331,68918,72413
Monseñor Nouel,171694,84456,87238
Monte Cristi,111416,55618,55798
Monte Plata,185432,91762,93670
Pedernales,30092,14932,15160
Peravia,192660,94388,98272
Puerto Plata,357193,175030,182163
Samaná,101494,50018,51476
San Cristóbal,599683,292548,307135
San José de Ocoa,58440,28881,29559
San Juan,227705,111403,116302
San Pedro de Macorís,299933,145357,154576
Sánchez Ramírez,172572,84759,87813
Santiago,1063292,515314,547978
Santiago Rodríguez,77106,38987,38119
Santo Domingo,2769588,1340999,1428589
Valverde,173130,85645,87485
